<RTE>
MODEL=facebook/opt-125m, TASK=RTE, MODE=fft-1e-6-28, LR=1e-06, SEED=28, ACC= 0.6678700361010831
MODEL=facebook/opt-125m, TASK=RTE, MODE=fft-1e-5-28, LR=1e-05, SEED=28, ACC= 0.6498194945848376
MODEL=facebook/opt-125m, TASK=RTE, MODE=fft-1e-6-210, LR=1e-06, SEED=210, ACC= 0.6570397111913358
MODEL=facebook/opt-125m, TASK=RTE, MODE=fft-1e-5-210, LR=1e-05, SEED=210, ACC= 0.5884476534296029
MODEL=facebook/opt-125m, TASK=RTE, MODE=fft-1e-6-8274, LR=1e-06, SEED=8274, ACC= 0.6498194945848376
MODEL=facebook/opt-125m, TASK=RTE, MODE=fft-1e-5-8274, LR=1e-05, SEED=8274, ACC= 0.6425992779783394
MODEL=facebook/opt-125m, TASK=RTE, MODE=fft-1e-6-10283, LR=1e-06, SEED=10283, ACC= 0.6353790613718412
MODEL=facebook/opt-125m, TASK=RTE, MODE=fft-1e-5-10283, LR=1e-05, SEED=10283, ACC= 0.6534296028880866
MODEL=facebook/opt-125m, TASK=RTE, MODE=entropy_gradweight_masking_0.999-5e-5-28, LR=5e-05, SEED=28, ACC= 0.6678700361010831
MODEL=facebook/opt-125m, TASK=RTE, MODE=entropy_gradweight_masking_0.999-1e-5-28, LR=1e-05, SEED=28, ACC= 0.6137184115523465
MODEL=facebook/opt-125m, TASK=RTE, MODE=entropy_gradweight_masking_0.999-5e-4-28, LR=0.0005, SEED=28, ACC= 0.6245487364620939
MODEL=facebook/opt-125m, TASK=RTE, MODE=entropy_gradweight_masking_0.999-1e-4-28, LR=0.0001, SEED=28, ACC= 0.6931407942238267
MODEL=facebook/opt-125m, TASK=RTE, MODE=entropy_gradweight_masking_0.999-5e-5-210, LR=5e-05, SEED=210, ACC= 0.6750902527075813
MODEL=facebook/opt-125m, TASK=RTE, MODE=entropy_gradweight_masking_0.999-1e-5-210, LR=1e-05, SEED=210, ACC= 0.6498194945848376
MODEL=facebook/opt-125m, TASK=RTE, MODE=entropy_gradweight_masking_0.999-5e-4-210, LR=0.0005, SEED=210, ACC= 0.6389891696750902
MODEL=facebook/opt-125m, TASK=RTE, MODE=entropy_gradweight_masking_0.999-1e-4-210, LR=0.0001, SEED=210, ACC= 0.6425992779783394
MODEL=facebook/opt-125m, TASK=RTE, MODE=entropy_gradweight_masking_0.999-5e-5-8274, LR=5e-05, SEED=8274, ACC= 0.6642599277978339
MODEL=facebook/opt-125m, TASK=RTE, MODE=entropy_gradweight_masking_0.999-1e-5-8274, LR=1e-05, SEED=8274, ACC= 0.6570397111913358
MODEL=facebook/opt-125m, TASK=RTE, MODE=entropy_gradweight_masking_0.999-5e-4-8274, LR=0.0005, SEED=8274, ACC= 0.6389891696750902
MODEL=facebook/opt-125m, TASK=RTE, MODE=entropy_gradweight_masking_0.999-1e-4-8274, LR=0.0001, SEED=8274, ACC= 0.6714801444043321
MODEL=facebook/opt-125m, TASK=RTE, MODE=entropy_gradweight_masking_0.999-5e-5-10283, LR=5e-05, SEED=10283, ACC= 0.7075812274368231
MODEL=facebook/opt-125m, TASK=RTE, MODE=entropy_gradweight_masking_0.999-1e-5-10283, LR=1e-05, SEED=10283, ACC= 0.6389891696750902
MODEL=facebook/opt-125m, TASK=RTE, MODE=entropy_gradweight_masking_0.999-5e-4-10283, LR=0.0005, SEED=10283, ACC= 0.628158844765343
MODEL=facebook/opt-125m, TASK=RTE, MODE=entropy_gradweight_masking_0.999-1e-4-10283, LR=0.0001, SEED=10283, ACC= 0.6606498194945848
MODEL=facebook/opt-125m, TASK=RTE, MODE=lora-1e-5-28, LR=1e-05, SEED=28, ACC= 0.628158844765343
MODEL=facebook/opt-125m, TASK=RTE, MODE=lora-1e-4-28, LR=0.0001, SEED=28, ACC= 0.6389891696750902
MODEL=facebook/opt-125m, TASK=RTE, MODE=lora-1e-5-210, LR=1e-05, SEED=210, ACC= 0.6606498194945848
MODEL=facebook/opt-125m, TASK=RTE, MODE=lora-1e-4-210, LR=0.0001, SEED=210, ACC= 0.6389891696750902
MODEL=facebook/opt-125m, TASK=RTE, MODE=lora-1e-5-8274, LR=1e-05, SEED=8274, ACC= 0.6498194945848376
MODEL=facebook/opt-125m, TASK=RTE, MODE=lora-1e-4-8274, LR=0.0001, SEED=8274, ACC= 0.6498194945848376
